Other_Seal_ID,Well_Report_ID,Other_Seal_Type,From,To,At
32800,12044632,Shale Trap,null,null,64
32801,12044640,K-Packer,null,null,65
32802,12044640,Drive Shoe,null,null,58
32803,12044641,Driven,null,null,59.3
32804,12044641,Shale Trap,null,null,45
32805,12044644,Drive Shoe,null,null,19.5
32806,12044644,Driven,null,null,18
32807,12044646,Drive Shoe,null,null,43.5
32808,12044646,Driven,null,null,41
32809,12044649,Shale Trap,null,null,21
32810,12044651,Shale Trap,null,null,98
32811,12044653,Shale Trap,null,null,100
32812,12044650,Formation Packer,null,null,30
32813,12044655,Shale Trap,null,null,80
32814,12044655,K-Packer,null,null,30
32815,12044655,Welded Ring,null,null,12
32816,12044656,Shale Trap,null,null,114
32817,12044658,Drive Shoe,null,null,27.5
32818,12044658,Welded Ring,null,null,21.5
32819,12044660,Welded Ring,null,null,94
32820,12044660,Shale Trap,null,null,92
32821,12044662,Formation Packer,null,null,260
32822,12044662,Shale Trap,null,null,159
32823,12044662,Formation Packer,null,null,142
32824,12044663,K-Packer,null,null,258
32825,12044663,Shale Trap,null,null,79
32826,12044663,K-Packer,null,null,62
32827,12044664,Shale Trap,null,null,75
32828,12044672,Shale Trap,null,null,80
32829,12044673,Formation Packer,null,null,162
32830,12044673,Shale Trap,null,null,91
32831,12044673,Formation Packer,null,null,82
32832,12044674,Shale Trap,null,null,84
32833,12044675,Driven,null,null,56
32834,12044675,Drive Shoe,null,null,56
32835,12044676,Formation Packer,null,null,265
32836,12044676,Shale Trap,null,null,80
32837,12044676,Formation Packer,null,null,65
32838,12044677,Shale Trap,null,null,99
32839,12044678,K-Packer,null,null,125
32840,12044678,Shale Trap,null,null,93
32841,12044678,Formation Packer,null,null,85
32842,12044680,Driven,null,null,80
32843,12044683,Driven,null,null,35
32844,12044683,Drive Shoe,null,null,35
32845,12044685,Drive Shoe,null,null,98
32846,12044686,Welded Ring,null,null,119
32847,12044686,Shale Trap,null,null,118
32848,12044687,Shale Trap,null,null,123
32849,12044689,Driven,null,null,148
32850,12044691,Shale Trap,null,null,29
32851,12044694,Driven,null,null,29
32852,12044695,Shale Trap,null,null,271.5
32853,12044702,Driven,null,null,234
32854,12044702,Drive Shoe,null,null,234
32855,12044703,K-Packer,null,null,150
32856,12044704,Driven,null,null,74
32857,12044706,Driven,null,null,136
32858,12044708,Shale Trap,null,null,149
32859,12044708,Shale Trap,null,null,148
32860,12044708,Driven,null,null,120
32861,12044708,K-Packer,null,null,110
32862,12044710,Driven,null,null,190
32863,12044711,Driven,null,null,46
32864,12044712,Shale Trap,null,null,230
32865,12044712,Shale Trap,null,null,228
32866,12044712,Drive Shoe,null,null,200
32867,12044715,Shale Trap,null,null,70
32868,12044715,Drive Shoe,null,null,60
32869,12044718,Shale Trap,null,null,151
32870,12044718,Driven,null,null,151
32871,12044719,Drive Shoe,null,null,96
32872,12044719,Shale Trap,null,null,95
32873,12044720,Driven,null,null,237
32874,12044722,Drive Shoe,null,null,60
32875,12044722,Shale Trap,null,null,60
32876,12044728,Formation Packer,null,null,96
32877,12044737,Shale Trap,null,null,208
32878,12044738,Driven,null,null,220
32879,12044738,Shale Trap,null,null,220
32880,12044739,Shale Trap,null,null,130
32881,12044740,Drive Shoe,null,null,132
32882,12044740,Shale Trap,null,null,131.6
32883,12044743,Drive Shoe,null,null,97.6
32884,12044743,Shale Trap,null,null,97
32885,12044742,Driven,null,null,40
