WELL_MEASURES_ID,WELL_TEST_ID,WELL_COMPLETION_INTERVAL,CURRENT_WELL_USE,WELL_DEPTH,WELL_DEPTH_TEXT,WELL_COMPLETION_UNIT,DEPTH_UNIT,WELL_IN_PIT,CREATE_TIMESTAMP,CREATE_USERID
1179637,418,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179639,269,null,Domestic/Agricultural,20,null,null,metres,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179641,813,null,Domestic,39.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179643,772,null,Agricultural,3.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179645,419,115ft to 247ft,Domestic,76,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179647,420,null,Domestic/Agricultural,41,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179649,2223,null,Domestic/Agricultural,39.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179651,661,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179653,124,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179655,80,null,Domestic/Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179657,2276,null,null,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179659,516,null,Domestic/Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179661,457,null,Domestic,65.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179663,377,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179665,2224,null,Domestic,49.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179667,2225,101-126ft,Domestic/Agricultural,91,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179669,169,null,Domestic/Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179671,329,null,Domestic,26.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179673,270,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179675,170,null,Domestic/Agricultural,null,null,null,null,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179677,2387,null,Domestic/Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179679,2325,4,null,36.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179681,2326,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179683,2327,null,null,null,null,null,null,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179685,125,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179687,718,null,Domestic,30.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179689,421,null,null,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179691,566,null,Agricultural,39.62,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179693,330,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179695,422,89ft to 109ft,Domestic/Agricultural,36.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179697,171,null,Domestic/Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179699,662,null,Domestic/Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179701,567,null,Domestic,30.5,null,null,metres,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179703,18,TOC,Domestic/Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179705,814,null,Domestic,30.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179707,81,null,Domestic/Agricultural,45.5,null,null,metres,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179709,2388,null,Domestic/Agricultural,48.8,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179711,331,null,Domestic,33.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179713,19,null,Agricultural,39.6,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179715,863,null,Domestic/Agricultural,36,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179717,1010,null,Domestic,36.6,null,null,metres,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179719,719,TOC,null,null,null,null,null,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179721,332,null,Domestic/Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179723,598,57.91-73.15m,Agricultural,73.15,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179725,101,57 - 67 m,Domestic,67.1,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179727,57,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179729,399,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179731,2311,27.4-33.5m,Domestic,33.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179733,102,54.9-67.1m,Domestic,67.06,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179735,58,24.38-30.48m,Domestic,31.39,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179737,698,null,domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179739,59,11.28 - 17.37,Domestic,18.3,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179741,498,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179743,794,23.77 - 42.67 m,Domestic,42.67,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179745,599,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179747,894,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179749,400,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179751,357,12.19-35.05M,Domestic,35.05,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179753,795,33.53 to 56.39 m,Domestic,59.44,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179755,201,41.45-50.6m,Domestic,53.64,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179757,103,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179759,841,null,Domestic,27.43,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179761,358,null,null,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179763,750,21.64 - 26.82,Domestic,26.82,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179765,499,null,Domestic,33.53,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179767,600,30.78-34.75,Domestic,45.72,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179769,307,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179771,699,12.19 - 21.34 m,Domestic,22.86,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179773,152,14.33-21.34,Domestic,22.86,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179775,751,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179777,359,10.36 - 12.5 m,Domestic,12.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179779,60,8.23 - 11.28,Domestic,11.89,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179781,104,45.11 - 57.3 m,Domestic,57.91,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179783,61,22.86-35.05m,Domestic,35.05,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179785,360,null,Other,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179787,2266,null,null,null,null,null,null,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179789,2312,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179791,401,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179793,2369,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179795,796,null,domestic,null,null,null,null,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179797,361,41.15 to 53.34 m,Domestic,53.34,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179799,797,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179801,842,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179803,2313,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179805,308,60.96 - 64.01 m,Domestic,64.31,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179807,895,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179809,202,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179811,62,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179813,2214,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179815,2267,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179817,990,35.36 - 41.45 m,Agricultural,41.76,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179819,8,49.99 - 67.06,Domestic,67.06,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179821,105,57.91-67.06m,Agricultural,67.06,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179823,254,null,Other,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179825,700,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179827,843,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179829,255,30.48 - 46.02 m,Agricultural,46.02,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179831,2265,Spring,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179833,547,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179835,362,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179837,752,null,Domestic,35.05,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179839,363,70.1 - 76.2,Domestic,77.72,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179841,2370,66.45-69.49m,Domestic,73.15,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
