WELL_ID,GOA_WELL_ID,WELL_GIC_ID,WELL_GIC_ID_TEXT,LATTITUDE,LONGITUDE,LSD,SECTION,QTR,TOWNSHIP,RANGE,MERIDIAN,YEAR_WELL_DRILLED,YEAR_WELL_DRILLED_TEXT,WELL_LOCATION,LEGAL_LAND_LOCATION,ELEVATION,ELEVATION_UNITS,CREATE_TIMESTAMP,CREATE_USERID
3676,null,null,null,52.416318,-113.670912,13,3,NW,40,26,4,null,null,east of house,13-03-040-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3677,null,null,null,52.022929,-113.677257,15,20,NE,35,26,4,null,null,null,15-20-035-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3678,null,227328,null,51.778873,-112.992838,null,25,NE,32,22,4,1983,null,20 m west from back door,NE-25-032-22-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3679,null,112276,null,51.046451,-113.506575,null,13,NW,24,26,4,1978,null,18 meters northeast of house,NW-13-024-26-W4,993,metres,2011-10-20T10:38:47.710Z,CONVERSION
3680,null,1475790,null,50.952621,-113.249715,null,14,SW,23,24,4,2003,null,10m NE of house,SW-14-023-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3681,null,158104,null,51.181788,-113.766534,null,31,NW,25,27,4,1991,null,West of barn,NW-31-025-27-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3682,null,null,null,52.670038,-113.412741,null,3,SW,43,24,4,null,null,25 m NE of house,SW-03-043-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3683,null,null,null,51.162892,-113.238306,null,26,NE,25,24,4,2004,null,22 meters northeast of shop,NE-26-025-24-W4,885,metres,2011-10-20T10:38:47.710Z,CONVERSION
3684,null,1305292,null,51.318358,-113.332153,null,21,SW,27,24,4,2010,null,32 meters southwest of house,SW-21-027-24-W4,876,metres,2011-10-20T10:38:47.710Z,CONVERSION
3686,null,null,null,52.601874,-113.552695,null,9,NW,42,25,4,null,null,110 m SE of house,NW-09-042-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3689,null,null,null,51.17862,-113.750589,null,31,NE,25,27,4,null,null,null,NE-31-025-27-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3690,null,null,null,51.110103,-113.654785,null,1,NW,25,27,4,null,null,SE of house,NW-01-025-27-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3691,null,164239,null,51.17944,-113.774879,null,36,NE,25,28,4,null,null,West of house,NE-36-025-28-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3692,null,164239,null,51.182929,-113.773386,null,36,NE,25,28,4,null,null,0.8 m west of house,NE-36-025-28-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3693,null,null,null,51.116609,-113.658202,null,11,SE,25,27,4,null,null,In pit west of house,SE-11-025-27-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3694,null,113038,null,51.223201,-113.653069,null,13,NW,26,27,4,1981,null,East of house,NW-13-026-27-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3695,null,113061,null,51.213293,-113.748331,null,17,SW,26,27,4,1981,null,Eas of garage,SW-17-026-27-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3696,null,null,null,52.144021,-113.572639,4,6,SW,37,25,4,1996,null,middle of pasture on a small solar pump,4-06-037-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3697,null,273955,null,52.444433,-113.652646,null,15,NE,40,26,4,1977,null,15m west of house,NE-15-040-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3698,null,null,null,51.626609,-112.920589,null,4,SE,31,21,4,null,null,null,SE-04-031-21-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3699,null,201513,null,52.396941,-113.629917,8,35,SE,39,26,4,null,null,5 m north of house,8-35-039-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3700,null,null,null,52.408751,-113.698394,5,4,SW,40,26,4,null,null,15 m SE of house in red pump house,5-04-040-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3701,null,null,null,51.949683,-112.770756,9,28,NE,34,20,4,1908,null,25 m SE of house in pit,9-28-034-20-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3702,null,155619,null,51.750171,-112.793423,null,17,NE,32,20,4,1990,null,West side of house,NE-17-032-20-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3703,null,null,null,51.841937,-113.247121,null,19,SE,33,23,4,null,null,null,SE-19-033-23-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3704,null,287511,null,52.604065,-113.481809,null,12,NW,42,25,4,null,null,on lawn beside garages,NW-12-042-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3705,null,287511,null,52.604065,-113.481809,null,12,NW,42,25,4,null,null,on lawn beside garages,NW-12-042-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3706,null,155755,null,52.132033,-112.820573,null,32,SE,36,20,4,1990,null,House Well,SE-32-036-20-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3707,null,null,null,52.228707,-112.646773,null,34,NW,37,19,4,null,null,House Well,NW-34-037-19-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3708,null,null,null,52.279387,-112.720864,null,24,SE,38,20,4,1989,null,House Well,SE-24-038-20-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3709,null,null,null,52.279496,-112.742286,null,24,SW,38,20,4,null,null,House Well,SW-24-038-20-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3710,null,null,null,52.226455,-112.642109,null,34,NW,37,19,4,null,null,House Well,NW-34-037-19-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3711,null,null,null,52.228191,-112.626254,null,34,NE,37,19,4,null,null,Pasture Well,NE-34-037-19-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3712,null,null,null,51.677329,-112.853898,null,24,NW,31,21,4,null,null,South side of house,NW-24-031-21-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3713,null,null,null,51.467287,-113.587292,null,10,NW,29,26,4,null,null,East of main yard,NW-10-029-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3714,null,null,null,52.287136,-112.73329,null,24,NW,38,20,4,null,null,House Well,NW-24-038-20-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3715,null,null,null,52.854895,-113.668837,null,2,NW,45,26,4,null,null,in the field,NW-02-045-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
